epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1249.01,2.00557,6.05502,0.01103,0.67871,0.19903,0.17993,0.06806,2.12903,7.07732,0.012,0.000417048,0.000417048,0.000417048
106,1260.67,2.01683,5.98715,0.01086,0.70973,0.19626,0.17634,0.06793,2.15268,7.13734,0.01221,0.000410223,0.000410223,0.000410223
107,1271.82,2.01908,6.09353,0.01112,0.70367,0.18539,0.1748,0.06688,2.16107,7.02685,0.01208,0.000403406,0.000403406,0.000403406
108,1283.22,2.03373,5.93216,0.01055,0.68228,0.19654,0.1813,0.07057,2.12309,7.34438,0.0118,0.0003966,0.0003966,0.0003966
109,1294.77,2.00885,5.72133,0.01099,0.70829,0.20664,0.1849,0.07076,2.12043,7.05575,0.01184,0.000389805,0.000389805,0.000389805
110,1306.61,2.01779,5.8445,0.01108,0.55001,0.21577,0.17411,0.06529,2.13461,6.96161,0.01202,0.000383023,0.000383023,0.000383023
111,1318.35,2.01961,5.89781,0.01082,0.55411,0.20822,0.17076,0.06392,2.14188,7.35996,0.01203,0.000376257,0.000376257,0.000376257
112,1329.98,1.98873,5.8877,0.01105,0.68005,0.21493,0.17475,0.06617,2.12782,7.14685,0.01193,0.000369508,0.000369508,0.000369508
113,1341.66,2.00933,5.87284,0.01072,0.68117,0.21177,0.1826,0.06963,2.14242,6.76768,0.01203,0.000362777,0.000362777,0.000362777
114,1352.81,2.00914,5.8653,0.0109,0.69602,0.19354,0.18301,0.06992,2.13107,7.48315,0.01197,0.000356066,0.000356066,0.000356066
115,1364.29,2.00107,5.88134,0.01109,0.70526,0.20195,0.17842,0.06811,2.13519,7.3151,0.01195,0.000349377,0.000349377,0.000349377
116,1376,2.00989,5.85402,0.01053,0.45211,0.20139,0.17419,0.06327,2.16107,7.34297,0.01228,0.000342711,0.000342711,0.000342711
117,1387.73,1.97659,5.70421,0.0105,0.43539,0.20699,0.17259,0.06502,2.1488,7.28994,0.01218,0.000336071,0.000336071,0.000336071
118,1399.38,1.99278,5.838,0.0109,0.55638,0.19911,0.17618,0.0672,2.1444,7.14239,0.01203,0.000329457,0.000329457,0.000329457
119,1411,2.03694,5.70096,0.01034,0.68203,0.20637,0.1754,0.06742,2.1283,7.25437,0.01194,0.000322871,0.000322871,0.000322871
120,1422.78,1.99821,5.8303,0.01053,0.67416,0.21011,0.17519,0.0679,2.13992,7.3237,0.01205,0.000316316,0.000316316,0.000316316
121,1434.17,1.98554,5.5569,0.01066,0.68419,0.20228,0.18439,0.07209,2.13461,7.20613,0.01194,0.000309792,0.000309792,0.000309792
122,1445.6,2.00355,5.7285,0.01078,0.68972,0.22471,0.18727,0.07138,2.12469,7.37303,0.01196,0.000303302,0.000303302,0.000303302
123,1457.31,1.98396,5.54712,0.01069,0.56104,0.22836,0.18749,0.07058,2.11659,6.95149,0.01181,0.000296846,0.000296846,0.000296846
124,1469,1.9858,5.59511,0.01079,0.55081,0.21616,0.18293,0.06908,2.13041,6.90781,0.01195,0.000290426,0.000290426,0.000290426
125,1480.78,2.00127,5.59591,0.01073,0.56768,0.1997,0.17382,0.06434,2.17756,7.19597,0.0124,0.000284045,0.000284045,0.000284045
126,1492.62,1.99379,5.59113,0.01055,0.56205,0.20076,0.1734,0.06482,2.18098,7.41042,0.01207,0.000277703,0.000277703,0.000277703
127,1504.27,1.99008,5.64044,0.01032,0.5528,0.22067,0.1776,0.06668,2.16233,7.39852,0.01191,0.000271402,0.000271402,0.000271402
128,1515.92,2.00136,5.50792,0.01082,0.68659,0.20465,0.17419,0.06637,2.13396,7.68864,0.01196,0.000265144,0.000265144,0.000265144
129,1527.38,1.98497,5.59988,0.0104,0.68651,0.19078,0.17631,0.06661,2.14436,7.54186,0.0122,0.000258931,0.000258931,0.000258931
130,1538.75,1.99177,5.38672,0.01031,0.69206,0.20806,0.18544,0.0714,2.12326,7.22061,0.01202,0.000252762,0.000252762,0.000252762
131,1550.3,1.98397,5.33484,0.01039,0.56631,0.21787,0.1781,0.06803,2.13374,7.69039,0.01211,0.000246642,0.000246642,0.000246642
132,1562.16,2.00306,5.43264,0.01062,0.57319,0.21027,0.18443,0.07024,2.13939,7.22126,0.01208,0.00024057,0.00024057,0.00024057
133,1573.93,2.00145,5.40378,0.01091,0.68871,0.20015,0.18512,0.06925,2.1587,7.20227,0.01221,0.000234548,0.000234548,0.000234548
134,1585.9,1.97796,5.58805,0.01147,0.68091,0.19188,0.17485,0.06662,2.16461,7.45298,0.01214,0.000228578,0.000228578,0.000228578
135,1597.65,1.96369,5.42605,0.01056,0.54634,0.19571,0.17412,0.06654,2.14267,7.48453,0.0119,0.000222662,0.000222662,0.000222662
136,1609.3,1.99203,5.42795,0.01069,0.58042,0.20201,0.17918,0.0677,2.12342,7.3709,0.01192,0.0002168,0.0002168,0.0002168
137,1620.47,1.98904,5.50715,0.01111,0.70226,0.20278,0.1865,0.07059,2.13093,7.09536,0.01188,0.000210994,0.000210994,0.000210994
138,1631.98,1.98379,5.31173,0.01041,0.44736,0.21358,0.18853,0.07191,2.12062,7.2168,0.01183,0.000205246,0.000205246,0.000205246
139,1643.83,2.00391,5.5087,0.01043,0.56419,0.20469,0.1815,0.06943,2.12841,7.59097,0.01203,0.000199556,0.000199556,0.000199556
140,1655.61,1.99179,5.35261,0.01081,0.71176,0.19863,0.1861,0.07075,2.14377,7.32037,0.01206,0.000193928,0.000193928,0.000193928
141,1667.3,1.9786,5.30752,0.0107,0.70573,0.20403,0.18343,0.06939,2.15781,7.15292,0.0121,0.000188361,0.000188361,0.000188361
142,1679.09,1.97403,5.42427,0.01053,0.70356,0.18332,0.17312,0.06528,2.17072,7.69178,0.01233,0.000182857,0.000182857,0.000182857
143,1690.85,1.97503,5.39685,0.01112,0.70057,0.17828,0.17627,0.06682,2.15859,7.6906,0.01221,0.000177418,0.000177418,0.000177418
144,1702.12,1.97341,5.20134,0.01042,0.7041,0.1935,0.18367,0.06979,2.14352,7.21811,0.01199,0.000172044,0.000172044,0.000172044
